,edades,genero,salarios,paises,titulo_academico,puesto_trabajo,años_experiencia,sector_laboral,tamaños_empresa,lenguaje_programacion
90,30-44,Hombre,No sabe/No contesta,China,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Tecnológico,Pequeña,Python
91,18-29,Hombre,medio,Corea del Sur,Grado Universitario,Data Analyst,< 1 years,Marketing/CRM,Startup,"Python, R"
92,30-44,Mujes,No sabe/No contesta,Nigeria,Master,Data Analyst,< 1 years,Energía/Minería,Grande," R, SQL"
93,30-44,Mujes,bajo,Otros,Master,Data Analyst,3-5 years,Marketing/CRM,Pequeña, None
94,30-44,Hombre,No sabe/No contesta,Vietnam,Grado Universitario,Business Analyst,< 1 years,Fabricación,Startup,Python
95,18-29,Mujes,No sabe/No contesta,India,Grado Universitario,Business Analyst,1-3 years,Tecnológico,Multinacional, SQL
96,18-29,Hombre,medio,Rusia,Bachillerato,Data Analyst,5-10 years,Negocios en línea/ventas basadas en Internet,Mediana,"Python, SQL"
97,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Otros,Startup,"Python, SQL"
98,45-59,Hombre,medio,Grecia,Grado Universitario,Data Analyst,< 1 years,Médico/farmacéutico,Grande,"Python, SQL, Other"
99,18-29,Hombre,No sabe/No contesta,China,Grado Universitario,Data Analyst,< 1 years,Académico/Educación,Startup,Python
100,18-29,Hombre,No sabe/No contesta,Brasil,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, C"
101,18-29,Hombre,No sabe/No contesta,Egipto,Grado Universitario,Data Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, SQL"
102,30-44,Hombre,bajo,Kenia,Master,Business Analyst,1-3 years,Académico/Educación,Pequeña,"Python, SQL, MATLAB"
103,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,< 1 years,Académico/Educación,Startup,Python
104,30-44,Mujes,alto,Reino Unido,Master,Business Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL"
105,18-29,Hombre,No sabe/No contesta,India,Prefiero no responder,Business Analyst,1-3 years,Tecnológico,Multinacional,"Python, R, SQL, C, C++, Java"
106,18-29,Mujes,No sabe/No contesta,Vietnam,Grado Universitario,Business Analyst,1-3 years,,No sabe/No contesta,"Python, R, SQL, Java, Javascript"
107,18-29,Mujes,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, SQL, C, Java"
108,30-44,Mujes,alto,Rusia,Master,Data Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL"
109,18-29,Hombre,No sabe/No contesta,Japon,Bachillerato,Business Analyst,1-3 years,Gobierno/servicio público,Grande,"Python, Other"
110,30-44,Hombre,medio,Indonesia,Master,Data Analyst,1-3 years,Fabricación,Grande,"Python, R, SQL, Java"
111,18-29,Mujes,medio,India,Grado Universitario,Business Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL, C, MATLAB"
112,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,I have never written code,Contabilidad/Finanzas,Startup,No sabe/No contesta
113,18-29,Mujes,bajo,India,Master,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Multinacional,"Python, SQL, Other"
114,18-29,Mujes,alto,India,Master,Data Analyst,< 1 years,Tecnológico,Mediana,"Python, SQL, C"
115,30-44,Hombre,No sabe/No contesta,Egipto,Master,Data Analyst,< 1 years,Médico/farmacéutico,Grande,Python
116,18-29,Hombre,medio,India,Master,Business Analyst,1-3 years,Marketing/CRM,Multinacional, SQL
117,30-44,Hombre,alto,China,Master,Data Analyst,3-5 years,Energía/Minería,Startup,"Python, C, C++, Java"
118,18-29,Hombre,No sabe/No contesta,India,Master,Business Analyst,< 1 years,,No sabe/No contesta,Python
119,30-44,Mujes,bajo,Corea del Sur,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R"
120,45-59,Hombre,bajo,Peru,Master,Business Analyst,10-20 years,Tecnológico,Mediana," SQL, Java, Other"
121,18-29,Mujes,No sabe/No contesta,Reino Unido,Master,Business Analyst,I have never written code,Hostelería/Entretenimiento/Deportes,Startup,No sabe/No contesta
122,30-44,Mujes,No sabe/No contesta,Nigeria,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL"
123,30-44,Hombre,bajo,Taiwan,Master,Data Analyst,5-10 years,Radio/Comunicaciones,Multinacional,"Python, R, SQL"
124,18-29,Mujes,bajo,Turquia,Master,Data Analyst,< 1 years,Ventas al por menor,Pequeña," R, Other"
125,60-70+,Hombre,No sabe/No contesta,Estados Unidos,Master,Data Analyst,20+ years,Gobierno/servicio público,Multinacional,"Python, SQL, MATLAB, Other"
126,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, R, C, C++"
127,30-44,Hombre,No sabe/No contesta,Estados Unidos,Grado Universitario,Data Analyst,1-3 years,,No sabe/No contesta,"Python, R, SQL"
128,30-44,Mujes,medio,Portugal,Master,Data Analyst,5-10 years,Contabilidad/Finanzas,Pequeña," SQL, Other"
129,30-44,Hombre,medio,India,Master,Data Analyst,I have never written code,Tecnológico,Multinacional,No sabe/No contesta
130,30-44,Hombre,alto,Australia,Master,Data Analyst,3-5 years,Gobierno/servicio público,Mediana,"Python, SQL"
131,45-59,Hombre,bajo,Egipto,Master,Business Analyst,20+ years,Fabricación,Grande,"Python, R, SQL, C, C++, Java, Javascript, MATLAB, Other"
132,18-29,Mujes,No sabe/No contesta,Turquia,Master,Data Analyst,5-10 years,Tecnológico,Startup,"Python, SQL"
133,18-29,Hombre,No sabe/No contesta,Egipto,Grado Universitario,Business Analyst,3-5 years,Radio/Comunicaciones,Grande, MATLAB
134,18-29,Mujes,alto,Alemania,Grado Universitario,Data Analyst,1-3 years,Otros,Multinacional,"Python, SQL"
135,30-44,Mujes,bajo,Corea del Sur,Master,Business Analyst,< 1 years,Tecnológico,Startup,"Python, SQL"
136,30-44,Mujes,No sabe/No contesta,India,Master,Data Analyst,5-10 years,Tecnológico,Startup,Python
137,18-29,Mujes,bajo,India,Grado Universitario,Data Analyst,I have never written code,Contabilidad/Finanzas,Grande,No sabe/No contesta
138,18-29,Hombre,bajo,China,Master,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Mediana,Python
139,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Startup,"Python, SQL, Java"
140,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,< 1 years,Fabricación,Pequeña, R
141,30-44,Hombre,No sabe/No contesta,Turquia,Grado Universitario,Data Analyst,< 1 years,Académico/Educación,Startup,Python
142,30-44,Hombre,bajo,Pakistan,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Grande, R
143,45-59,Hombre,alto,Corea del Sur,Doctorado Profesional,Business Analyst,5-10 years,Académico/Educación,Pequeña, SQL
144,18-29,Hombre,bajo,Filipinas,Grado Universitario,Data Analyst,1-3 years,Marketing/CRM,Startup,"Python, R, SQL, Other"
145,60-70+,Hombre,alto,Estados Unidos,Master,Business Analyst,I have never written code,Seguro/Evaluación de Riesgos,Startup,No sabe/No contesta
146,30-44,Mujes,No sabe/No contesta,India,Master,Business Analyst,< 1 years,Tecnológico,Multinacional,"Python, R"
147,60-70+,Hombre,bajo,Taiwan,Doctorado,Data Analyst,1-3 years,Académico/Educación,Mediana,Python
148,30-44,Mujes,alto,Australia,Doctorado,Data Analyst,3-5 years,Tecnológico,Pequeña,"Python, SQL"
149,30-44,Mujes,alto,Estados Unidos,Master,Business Analyst,I have never written code,Contabilidad/Finanzas,Startup,No sabe/No contesta
150,18-29,Mujes,bajo,Nigeria,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,"Python, R, SQL, C"
151,30-44,Hombre,bajo,Alemania,Master,Data Analyst,< 1 years,Fabricación,Mediana,Python
152,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,< 1 years,Médico/farmacéutico,Grande,"Python, SQL"
153,18-29,Hombre,bajo,China,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,ONG/Servicio,Grande,"Python, C, MATLAB"
154,18-29,Hombre,No sabe/No contesta,Pakistan,Grado Universitario,Data Analyst,< 1 years,Académico/Educación,Startup,Python
155,30-44,Hombre,bajo,Otros,Master,Data Analyst,1-3 years,Gobierno/servicio público,Pequeña,"Python, R, SQL"
156,30-44,Hombre,No sabe/No contesta,Estados Unidos,Master,Business Analyst,10-20 years,Ventas al por menor,Multinacional,"Python, R, SQL, C, C++, Java, Javascript, Julia, Swift, Bash, MATLAB"
157,30-44,Hombre,No sabe/No contesta,Alemania,Doctorado,Data Analyst,10-20 years,Marketing/CRM,Grande,"Python, SQL"
158,30-44,Mujes,alto,Alemania,Master,Data Analyst,5-10 years,Envío/Transporte,Multinacional, R
159,30-44,Mujes,No sabe/No contesta,Nigeria,Master,Business Analyst,< 1 years,Tecnológico,Grande,Python
160,18-29,Hombre,No sabe/No contesta,Otros,Estudios Univertarios sin licenciatura,Business Analyst,1-3 years,Envío/Transporte,Startup,Python
161,18-29,Hombre,bajo,Nigeria,Master,Data Analyst,< 1 years,ONG/Servicio,Startup,"Python, SQL"
162,18-29,Mujes,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Otros,Startup,"Python, SQL"
163,60-70+,Prefiero no decirlo,alto,Estados Unidos,Master,Data Analyst,I have never written code,Gobierno/servicio público,Multinacional,No sabe/No contesta
164,30-44,Mujes,bajo,Rusia,Master,Business Analyst,5-10 years,Tecnológico,Startup,"Python, SQL"
165,45-59,Hombre,alto,Reino Unido,Estudios Univertarios sin licenciatura,Business Analyst,20+ years,Ventas al por menor,Multinacional,"Python, SQL, Other"
166,18-29,Hombre,bajo,Otros,Master,Business Analyst,I have never written code,Servicio en línea/Servicios basados ​​en Internet,Startup,No sabe/No contesta
167,18-29,Mujes,No sabe/No contesta,India,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Grande,Python
168,30-44,Hombre,medio,China,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Startup,Python
169,18-29,Mujes,bajo,India,Master,Business Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL"
170,30-44,Hombre,No sabe/No contesta,Arabia Saudi,Grado Universitario,Business Analyst,< 1 years,Académico/Educación,Startup, Java
171,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,3-5 years,Tecnológico,Grande,"Python, R, SQL, C, C++, Java, Javascript"
172,45-59,Hombre,alto,España,Grado Universitario,Data Analyst,5-10 years,Gobierno/servicio público,Grande,"Python, SQL, Bash"
173,18-29,Mujes,No sabe/No contesta,Indonesia,Estudios Univertarios sin licenciatura,Business Analyst,I have never written code,Contabilidad/Finanzas,Multinacional,No sabe/No contesta
174,45-59,Mujes,bajo,Polonia,Master,Business Analyst,< 1 years,Académico/Educación,Grande, None
175,18-29,Hombre,alto,Francia,Master,Business Analyst,3-5 years,Fabricación,Mediana,Python
176,18-29,Hombre,bajo,Brasil,Grado Universitario,Data Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, R"
177,30-44,Hombre,No sabe/No contesta,Ucrania,Master,Data Analyst,3-5 years,Otros,Startup,"Python, Javascript"
178,30-44,Hombre,alto,Nigeria,Doctorado,Business Analyst,3-5 years,Contabilidad/Finanzas,Mediana,"Python, R, SQL"
179,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Otros,No sabe/No contesta,Python
180,30-44,Hombre,medio,Reino Unido,Master,Business Analyst,< 1 years,Envío/Transporte,Multinacional,"Python, SQL"
181,18-29,Hombre,bajo,India,Grado Universitario,Business Analyst,5-10 years,Otros,Multinacional,"Python, SQL, C++, Java"
182,18-29,Mujes,bajo,India,Master,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, SQL"
183,30-44,Hombre,bajo,Corea del Sur,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Tecnológico,Pequeña,Python
184,18-29,Hombre,medio,Singapur,Grado Universitario,Data Analyst,1-3 years,Gobierno/servicio público,Grande,Python
185,18-29,Mujes,No sabe/No contesta,Pakistan,Master,Data Analyst,< 1 years,Tecnológico,Pequeña, R
186,30-44,Hombre,alto,Australia,Grado Universitario,Business Analyst,1-3 years,Ventas al por menor,Grande, None
187,18-29,Hombre,No sabe/No contesta,Egipto,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Pequeña,"Python, SQL, C++, Java, MATLAB"
188,60-70+,Hombre,bajo,Otros,Doctorado,Business Analyst,1-3 years,Marketing/CRM,Startup," C++, Java, Javascript"
189,18-29,Hombre,bajo,China,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Tecnológico,Startup,"Python, C++, MATLAB"
190,30-44,Hombre,No sabe/No contesta,Nigeria,Grado Universitario,Data Analyst,< 1 years,Académico/Educación,Pequeña,"Python, R, SQL"
191,30-44,Hombre,bajo,Turquia,Master,Business Analyst,3-5 years,Radio/Comunicaciones,Grande,"Python, Julia"
192,18-29,Hombre,No sabe/No contesta,India,Master,Business Analyst,1-3 years,Otros,Mediana,"Python, SQL, C++"
193,18-29,Mujes,No sabe/No contesta,India,Grado Universitario,Data Analyst,3-5 years,Otros,Startup,"Python, SQL, C, Java, Javascript"
194,30-44,Mujes,alto,Alemania,Master,Data Analyst,< 1 years,Fabricación,Multinacional, None
195,60-70+,Hombre,alto,Estados Unidos,Master,Business Analyst,20+ years,Militar/Seguridad/Defensa,Multinacional,"Python, SQL, Other"
196,30-44,Hombre,bajo,Chile,Grado Universitario,Business Analyst,5-10 years,Servicio en línea/Servicios basados ​​en Internet,Pequeña,"Python, SQL, Javascript, Other"
197,18-29,Hombre,No sabe/No contesta,Nigeria,Grado Universitario,Data Analyst,< 1 years,Académico/Educación,Pequeña,"Python, R"
198,30-44,Hombre,alto,India,Master,Business Analyst,10-20 years,Académico/Educación,Startup,"Python, C, C++, Bash, MATLAB"
199,30-44,Mujes,alto,Canada,Master,Business Analyst,< 1 years,Tecnológico,Pequeña,Python
200,30-44,Mujes,medio,Sudafrica,Grado Universitario,Data Analyst,3-5 years,ONG/Servicio,Startup,"Python, Other"
201,30-44,Hombre,alto,Paises Bajos,Master,Data Analyst,1-3 years,ONG/Servicio,Mediana, R
202,30-44,Hombre,bajo,Brasil,Grado Universitario,Data Analyst,10-20 years,Energía/Minería,Mediana,"Python, SQL, Bash, Other"
203,18-29,Hombre,bajo,Estados Unidos,Doctorado Profesional,Business Analyst,20+ years,Académico/Educación,Pequeña,"Python, C, C++, Javascript, Julia, Swift"
204,18-29,Mujes,No sabe/No contesta,India,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, SQL"
205,45-59,Mujes,alto,Estados Unidos,Master,Data Analyst,20+ years,Médico/farmacéutico,Multinacional,"Python, SQL, Other"
206,18-29,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, SQL"
207,30-44,Hombre,No sabe/No contesta,Egipto,Master,Data Analyst,1-3 years,Otros,Startup,"Python, R, SQL, Javascript"
208,45-59,Hombre,alto,Japon,Master,Data Analyst,20+ years,Tecnológico,Pequeña,"Python, SQL"
209,18-29,Hombre,alto,Reino Unido,Grado Universitario,Data Analyst,1-3 years,Médico/farmacéutico,Multinacional,Python
210,30-44,No binario,bajo,India,Grado Universitario,Data Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,"Python, R, SQL"
211,18-29,Hombre,bajo,India,Grado Universitario,Business Analyst,3-5 years,Tecnológico,Grande,"Python, R, SQL"
212,30-44,Mujes,bajo,India,Doctorado,Data Analyst,< 1 years,ONG/Servicio,Startup,"Python, C, Java"
213,18-29,Hombre,alto,India,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Grande,"Python, SQL, C, C++"
214,30-44,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, R"
